open,high,low,close,volume,vwap,timestamp,transactions,otc
538.91,539.87,538.1975,538.7093,782383.0,531.8094,1744223460000,5963,
538.77,539.34,538.3748,539.13,395394.0,538.9282,1744223520000,4864,
539.13,539.15,536.88,537.4553,448982.0,537.8197,1744223580000,6016,
537.35,537.35,535.1,536.26,671820.0,528.5047,1744223640000,6584,
536.24,537.91,535.78,537.48,355889.0,536.9728,1744223700000,5021,
537.48,537.81,536.17,536.78,349127.0,537.0358,1744223760000,5094,
536.7925,537.63,536.0,537.25,344085.0,536.6144,1744223820000,4478,
537.26,537.285,536.07,537.14,384290.0,536.8733,1744223880000,3580,
537.13,538.08,536.68,536.87,457629.0,526.0436,1744223940000,4023,
536.86,537.38,535.83,536.91,558403.0,536.5539,1744224000000,6054,
536.99,537.31,535.23,537.29,594833.0,527.6715,1744224060000,5691,
537.31,537.42,533.76,534.02,534917.0,535.1999,1744224120000,6505,
533.9705,534.8,533.53,534.41,527465.0,525.1023,1744224180000,5055,
534.36,534.51,532.61,533.37,589284.0,533.346,1744224240000,6597,
533.38,534.29,531.74,531.74,628148.0,532.9086,1744224300000,7906,
531.77,533.73,531.54,533.5438,719728.0,532.5961,1744224360000,9509,
533.57,533.78,532.63,533.59,422172.0,533.5734,1744224420000,5323,
533.45,534.81,532.36,534.4599,775260.0,533.8202,1744224480000,7978,
534.37,535.04,533.94,533.9922,337638.0,534.4343,1744224540000,4802,
534.0706,534.93,533.485,534.73,377796.0,534.232,1744224600000,3928,
534.88,535.63,534.62,535.0733,375614.0,535.0922,1744224660000,5411,
534.99,536.18,534.62,535.22,356628.0,535.6153,1744224720000,4847,
535.16,535.71,533.0,533.285,376766.0,533.884,1744224780000,5001,
533.25,534.07,532.68,533.26,305975.0,533.4047,1744224840000,4161,
533.24,533.92,532.59,532.75,322433.0,533.1858,1744224900000,3998,
532.72,533.2,531.95,532.1601,419740.0,532.553,1744224960000,4970,
532.25,533.23,532.22,533.0,344398.0,532.7631,1744225020000,4591,
532.99,533.71,532.02,532.17,375137.0,532.9468,1744225080000,4467,
532.18,532.18,530.59,530.93,439093.0,531.2264,1744225140000,5274,
530.91,531.28,529.68,530.54,689532.0,530.2487,1744225200000,7916,
530.53,531.64,530.53,531.36,638916.0,531.1174,1744225260000,7786,
531.37,533.33,531.37,532.8801,708258.0,532.6883,1744225320000,9233,
532.95,534.36,532.8,533.2019,460251.0,533.6338,1744225380000,6800,
533.22,534.53,533.2,534.385,461043.0,533.872,1744225440000,5719,
534.38,535.33,534.27,534.73,467967.0,534.8599,1744225500000,6424,
534.72,535.18,533.65,533.89,384458.0,534.3566,1744225560000,4958,
534.0901,534.83,532.99,534.79,495695.0,533.8758,1744225620000,6574,
534.83,534.83,533.61,534.225,618486.0,534.199,1744225680000,6087,
534.22,535.07,533.36,534.87,494650.0,534.2768,1744225740000,6113,
534.91,536.53,534.81,536.01,611544.0,527.7049,1744225800000,6217,
536.01,536.86,535.57,535.83,428849.0,536.2102,1744225860000,5515,
535.87,536.39,535.1937,535.84,276845.0,535.7668,1744225920000,4086,
535.8375,537.11,535.73,536.45,406242.0,536.5252,1744225980000,5284,
536.45,537.72,536.02,537.46,299135.0,536.9859,1744226040000,3943,
537.48,537.75,536.91,537.34,364032.0,537.4072,1744226100000,4744,
537.37,537.45,536.935,537.11,275311.0,537.1383,1744226160000,3671,
537.06,537.4,535.79,537.12,622312.0,528.4106,1744226220000,5757,
537.13,537.32,536.19,536.96,385146.0,536.7502,1744226280000,4765,
536.94,538.4,536.52,538.2,491651.0,537.5548,1744226340000,5848,
538.14,539.18,538.0,539.03,436261.0,538.5087,1744226400000,5524,
538.98,540.4,538.97,540.07,605270.0,539.809,1744226460000,7541,
540.09,540.15,538.71,539.65,480252.0,539.3448,1744226520000,5704,
539.65,540.25,539.5159,540.16,416531.0,539.9312,1744226580000,4207,
540.14,540.3,539.61,540.17,552427.0,530.0857,1744226640000,5075,
540.16,541.44,539.36,541.38,748568.0,540.5572,1744226700000,7817,
541.38,541.78,540.31,540.6,695504.0,532.9656,1744226760000,6169,
540.6,541.05,539.7,541.01,347690.0,540.4027,1744226820000,5004,
540.98,541.27,539.77,539.91,344665.0,540.4791,1744226880000,4771,
539.94,540.94,539.94,540.49,417514.0,540.4805,1744226940000,5310,
540.45,541.67,540.43,541.6345,406412.0,540.9535,1744227000000,5934,
541.6,543.35,541.6,542.46,672534.0,542.6231,1744227060000,8272,
542.47,543.38,542.21,543.23,522043.0,542.8952,1744227120000,6764,
543.2515,543.4,541.72,541.94,731715.0,534.5644,1744227180000,6397,
541.92,542.57,541.12,542.48,658630.0,524.3186,1744227240000,5582,
542.4916,542.58,541.53,541.88,497820.0,530.4516,1744227300000,5146,
541.92,542.19,540.52,540.55,723349.0,525.7175,1744227360000,6358,
540.565,541.06,540.26,540.5,474618.0,540.5362,1744227420000,5352,
540.47,541.06,539.54,540.96,623584.0,531.4095,1744227480000,5870,
540.97,542.11,540.84,541.77,666486.0,533.0089,1744227540000,5217,
541.7857,541.91,541.32,541.35,519461.0,541.6416,1744227600000,6614,
541.34,541.92,541.19,541.65,540473.0,530.9585,1744227660000,5053,
541.62,541.78,541.03,541.34,341765.0,541.4053,1744227720000,4621,
541.34,541.96,541.12,541.9,400398.0,541.5761,1744227780000,5722,
541.94,541.99,540.85,541.74,582256.0,531.7051,1744227840000,6332,
541.8,541.95,541.18,541.61,470978.0,541.6644,1744227900000,6294,
541.6,541.69,540.9,541.13,578278.0,541.3299,1744227960000,7377,
541.14,542.04,540.39,541.96,739324.0,541.2285,1744228020000,9908,
541.92,542.69,541.9,542.3001,855293.0,542.4293,1744228080000,7809,
542.27,543.12,542.22,543.045,1377741.0,534.2577,1744228140000,9922,
543.045,545.17,543.045,545.12,1363921.0,544.3855,1744228200000,13310,
545.17,545.2,544.21,544.87,1169341.0,539.5812,1744228260000,10161,
