Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-12-13,26.40139593505859,26.560760498046875,26.365981587727862,26.560760498046875,273200,13,0,50,12,1993
1993-12-14,26.578466220699436,26.578466220699436,26.36598014831543,26.36598014831543,41900,14,1,50,12,1993
1993-12-15,26.40139509866762,26.419102271772026,26.33056640625,26.33056640625,82600,15,2,50,12,1993
1993-12-16,26.4367993446841,26.4367993446841,26.38367784566598,26.419092178344727,78200,16,3,50,12,1993
1993-12-17,26.475139579516927,26.582109840444268,26.457311202695703,26.564281463623047,104700,17,4,50,12,1993
1993-12-20,26.54646373114701,26.61777726702652,26.528635347177133,26.59994888305664,68800,20,0,51,12,1993
1993-12-21,26.564290278216056,26.564290278216056,26.475148364530767,26.510805130004883,205700,21,1,51,12,1993
1993-12-22,26.58213942227717,26.70693819890758,26.52865423229271,26.689109802246094,410300,22,2,51,12,1993
1993-12-23,26.671262741088867,26.724747893644526,26.63560597271843,26.671262741088867,533800,23,3,51,12,1993
1993-12-27,26.671255791440927,26.813882827758793,26.671255791440927,26.81388282775879,447100,27,0,52,12,1993
1993-12-28,26.79605327573294,26.885195169531123,26.778224896973306,26.867366790771484,880600,28,1,52,12,1993
1993-12-29,26.88519213096644,26.903020507711112,26.813878623987748,26.831707000732422,266700,29,2,52,12,1993
1993-12-30,26.813888621059874,26.813888621059874,26.671261553926577,26.724746704101562,219900,30,3,52,12,1993
1993-12-31,26.77824465049984,26.813901434322077,26.56430394756642,26.58213233947754,312900,31,4,52,12,1993
1994-01-03,26.582118660953114,26.61777542642723,26.475148364530767,26.510805130004883,960900,3,0,1,1,1994
1994-01-04,26.546484260533532,26.6177978515625,26.510827465019048,26.6177978515625,164300,4,1,1,1,1994
1994-01-05,26.65343435690365,26.68909112527409,26.54646405179233,26.671262741088867,710900,5,2,1,1,1994
1994-01-06,26.706919509459308,26.724747893644526,26.63560597271843,26.671262741088867,201000,6,3,1,1,1994
1994-01-07,26.724736740264387,26.849535377477093,26.653423233285693,26.831707000732422,775500,7,4,1,1,1994
1994-01-10,26.867385134130267,27.152639389038086,26.796071570403313,27.152639389038086,593700,10,0,2,1,1994
1994-01-11,27.13480647990578,27.13480647990578,27.01000776416377,27.099149703979492,295200,11,1,2,1,1994
1994-01-12,27.116982016232935,27.116982016232935,26.920869720257546,27.010011672973633,158400,12,2,2,1,1994
1994-01-13,26.938684463500977,26.99216960803473,26.90302770047847,26.938684463500977,244300,13,3,2,1,1994
1994-01-14,27.02783735221204,27.099150907231067,27.02783735221204,27.045665740966797,137200,14,4,2,1,1994
1994-01-17,27.045665740966797,27.08132251847631,26.992180574702523,27.045665740966797,17700,17,0,3,1,1994
1994-01-18,27.081319808959964,27.116976582901977,27.02783464804694,27.08131980895996,166400,18,1,3,1,1994
1994-01-19,27.045668454060067,27.0813252351465,26.95652650134398,27.010011672973633,200800,19,2,3,1,1994
1994-01-20,27.04566303501795,27.09914819593097,27.02783464804694,27.08131980895996,281100,20,3,3,1,1994
1994-01-21,27.116977784753157,27.116977784753157,27.010007458186085,27.027835845947266,85600,21,4,3,1,1994
1994-01-24,27.010009866676587,27.134808592133176,26.92086791992188,26.920867919921875,373800,24,0,4,1,1994
1994-01-25,26.938696309272817,26.95652469862376,26.86738275186905,26.920867919921875,310400,25,1,4,1,1994
1994-01-26,26.920877731303083,27.01001971054581,26.885220939605993,26.992191314697266,145100,26,2,4,1,1994
1994-01-27,27.045665148041014,27.277434196771754,27.010008371313205,27.241777420043945,344500,27,3,4,1,1994
1994-01-28,27.348748055201597,27.402233220889734,27.31309127807617,27.313091278076172,356500,28,4,4,1,1994
1994-01-31,27.42006481860415,27.562691943798452,27.384408037305576,27.509206771850586,313800,31,0,5,1,1994
1994-02-01,27.473543652960068,27.473543652960068,27.330916560666957,27.366573333740234,303600,1,1,5,2,1994
1994-02-02,27.455715093026267,27.544857025146484,27.437886706602225,27.544857025146484,307600,2,2,5,2,1994
1994-02-03,27.491365102859717,27.491365102859717,27.330909664516177,27.42005157470703,466100,3,3,5,2,1994
1994-02-04,27.42005008486851,27.45570684700748,26.79605674743652,26.796056747436523,1403200,4,4,5,2,1994
1994-02-07,26.72475563706152,26.992181477325644,26.72475563706152,26.920867919921875,516400,7,0,6,2,1994
